method,model,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
CLAP zero-shot,clap_htsat_unfused,external_test,5,笙,0.3317972350230415,0.0,0.9473684210526315,1.3597399555105182e-16,0.2011173184357542,0.0
CLAP zero-shot,clap_htsat_unfused,test,0,二胡,0.0,0.0,0.0,0.0,0.0,0.0
CLAP zero-shot,clap_htsat_unfused,test,1,琵琶,0.0,0.0,0.0,0.0,0.0,0.0
CLAP zero-shot,clap_htsat_unfused,test,2,中阮,0.0,0.0,0.0,0.0,0.0,0.0
CLAP zero-shot,clap_htsat_unfused,test,3,笛子,0.0691648395455451,0.05989925427856226,0.05050933786078097,0.043858051707953136,0.11122448979591837,0.09778364373924599
CLAP zero-shot,clap_htsat_unfused,test,4,唢呐,0.0,0.0,0.0,0.0,0.0,0.0
CLAP zero-shot,clap_htsat_unfused,test,5,笙,0.21006360671768118,0.060751241035439336,0.17113442113442112,0.03894558956838215,0.27473000728814684,0.10597467524652514
MERT linear probe,mert_v1_95m,external_test,0,二胡,0.29364982731596634,0.17372257760545906,0.5648567119155354,0.05974450172047771,0.21828908554572268,0.16611101150797744
MERT linear probe,mert_v1_95m,external_test,1,琵琶,0.6517430647876747,0.04070558486867684,0.4991785744844699,0.05057712556024354,0.9450980392156864,0.03396178054056629
MERT linear probe,mert_v1_95m,external_test,2,中阮,0.026937401223115498,0.01166423711327503,0.2722222222222222,0.11824331474329317,0.014184397163120532,0.006142024140315153
MERT linear probe,mert_v1_95m,external_test,3,笛子,0.5349322352974053,0.07955870582097414,0.5952055078594832,0.13412049327039985,0.5602836879432624,0.28072477280872027
MERT linear probe,mert_v1_95m,external_test,4,唢呐,0.3515947000500484,0.04609078715741578,0.22440327875336177,0.04145588630060261,0.837037037037037,0.06789001029564212
MERT linear probe,mert_v1_95m,external_test,5,笙,0.5167953193853991,0.01518385611458881,0.6219992685197501,0.09215783110961161,0.44692737430167595,0.025600981536066172
MERT linear probe,mert_v1_95m,test,0,二胡,0.9945355191256832,0.00946475851130535,0.989247311827957,0.018624202231923397,1.0,0.0
MERT linear probe,mert_v1_95m,test,1,琵琶,1.0,0.0,1.0,0.0,1.0,0.0
MERT linear probe,mert_v1_95m,test,2,中阮,0.992648527707859,0.006501651582593889,0.9935897435897436,0.01110288979210815,0.991869918699187,0.014081713882673812
MERT linear probe,mert_v1_95m,test,3,笛子,0.9340780166276238,0.07503653651531828,0.9713064713064714,0.025267646015353914,0.9055864770150484,0.12979550427332118
MERT linear probe,mert_v1_95m,test,4,唢呐,0.9554815636946602,0.047392831403627905,0.9509090909090908,0.06844192808988625,0.9611613876319759,0.03363998028611003
