experiment_id,run_id,method,model,ratio_name,ratio_value,seed_name,split,num_samples,accuracy,macro_f1,macro_precision,macro_recall
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed0,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed0,external_test,610,0.2360655737704918,0.1729491654596446,0.26152501529315186,0.19332872137644355
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed1,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed1,val,185,0.7351351351351352,0.5381436762153478,0.5604486227939963,0.5584832451499118
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed1,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed1,test,242,0.628099173553719,0.5593850352681874,0.656998556998557,0.6284529014308425
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed1,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed1,external_test,610,0.24918032786885247,0.1272574372600556,0.26673723026362167,0.18835551733273048
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed2,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed2,val,230,0.6956521739130435,0.559607572482388,0.6650120264461349,0.6058464183899724
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed2,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed2,test,233,0.6695278969957081,0.5599558756667978,0.6507853455221876,0.6498238195912615
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train25_seed2,MERT+LoRA (r=4),mert_v1_95m,train25,0.25,seed2,external_test,610,0.25901639344262295,0.13878625780099937,0.12284798534798536,0.2106367570470744
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed0,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed0,val,221,0.8280542986425339,0.6742878029833913,0.8544667433747287,0.6741226040647449
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed0,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed0,test,204,0.8186274509803921,0.6932169229628186,0.7260281385281386,0.7102564102564103
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed0,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed0,external_test,610,0.42950819672131146,0.2511847872657975,0.613995417002566,0.31459454853202096
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed1,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed1,val,185,0.7081081081081081,0.5245337882204509,0.5253602718414804,0.5509700176366844
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed1,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed1,test,242,0.5206611570247934,0.4069091571138279,0.42046608469038443,0.5106905548082018
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed1,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed1,external_test,610,0.2754098360655738,0.11497784709451647,0.11265456458826624,0.17702321363322196
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed2,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed2,val,230,0.8869565217391304,0.746213862765587,0.7521816631791056,0.751247668320839
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed2,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed2,test,233,0.7854077253218884,0.6843395043395043,0.6896436352318704,0.7218974975472924
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train50_seed2,MERT+LoRA (r=4),mert_v1_95m,train50,0.5,seed2,external_test,610,0.5180327868852459,0.4509224691954851,0.5696405859942386,0.5137807656839827
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed0,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed0,val,221,0.8009049773755657,0.6826415094339623,0.708839345293904,0.6929727082089666
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed0,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed0,test,204,0.8088235294117647,0.7749084544542523,0.8123796362803577,0.7956977759397114
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed0,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed0,external_test,610,0.46229508196721314,0.42120701468719407,0.5905696259198437,0.4372522105869576
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed1,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed1,val,185,0.8432432432432433,0.6945914168136391,0.7655757984705353,0.6955753968253968
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed1,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed1,test,242,0.8842975206611571,0.8747171679347302,0.9181795489966881,0.8709492242843084
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed1,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed1,external_test,610,0.29180327868852457,0.1469669559351059,0.25281022262154335,0.19320423548264218
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed2,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed2,val,230,0.7869565217391304,0.8023250181137217,0.8708599781515608,0.8301718026456703
exp03_mert_lora_r4,run_exp03_mert_lora_r4_train100_seed2,MERT+LoRA (r=4),mert_v1_95m,train100,1.0,seed2,test,233,0.7124463519313304,0.6160178352680394,0.6693479245856361,0.6825470850778648
