method,model,ratio_name,ratio_value,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
MERT full fine-tuning,mert_v1_95m,train50,0.5,test,3,笛子,0.9531154384124486,0.019964408643628976,0.9733742959549412,0.0243040333564891,0.9356833642547929,0.055977236917148405
MERT full fine-tuning,mert_v1_95m,train50,0.5,test,4,唢呐,0.9765656565656565,0.020865860741293533,1.0,0.0,0.9547511312217195,0.040218074286495833
MERT full fine-tuning,mert_v1_95m,train50,0.5,test,5,笙,0.9383656562137929,0.02001978760848641,0.9127257891027781,0.04550107784592696,0.96668985622474,0.011482631008765199
MERT full fine-tuning,mert_v1_95m,train50,0.5,val,0,二胡,0.9887355674457897,0.009952462431468532,0.9901960784313726,0.016980890270283114,0.9876543209876543,0.02138334330331957
MERT full fine-tuning,mert_v1_95m,train50,0.5,val,1,琵琶,0.9523809523809524,0.08247860988423228,1.0,0.0,0.9166666666666666,0.14433756729740643
MERT full fine-tuning,mert_v1_95m,train50,0.5,val,2,中阮,0.9880859880859881,0.01291629903112317,0.9766666666666666,0.025166114784235857,1.0,0.0
MERT full fine-tuning,mert_v1_95m,train50,0.5,val,3,笛子,0.8873348873348873,0.16957674814525212,0.9533333333333333,0.05033222956847165,0.8473639455782314,0.24691035599942746
MERT full fine-tuning,mert_v1_95m,train50,0.5,val,4,唢呐,0.9720588235294118,0.0295218527939482,0.9767441860465116,0.04028025133881117,0.9678668215253582,0.027834207461120662
MERT full fine-tuning,mert_v1_95m,train50,0.5,val,5,笙,0.9442110377547229,0.06135181156970355,0.9291747888239116,0.09247110801997087,0.9618181818181818,0.033178704710717585
MERT linear probe,mert_v1_95m,train10,0.1,external_test,0,二胡,0.09292929292929293,0.1609582568649866,0.14743589743589744,0.25536646521848827,0.0678466076696165,0.11751377160496805
MERT linear probe,mert_v1_95m,train10,0.1,external_test,1,琵琶,0.20303030303030303,0.3516588003245903,0.1654320987654321,0.2865368002644809,0.2627450980392157,0.45508785924358736
MERT linear probe,mert_v1_95m,train10,0.1,external_test,2,中阮,0.2599090318388564,0.33028905981313805,0.46633825944170776,0.4236835053627622,0.19858156028368792,0.27357874499270796
MERT linear probe,mert_v1_95m,train10,0.1,external_test,3,笛子,0.0497512437810945,0.08617168196860082,0.08333333333333333,0.14433756729740643,0.0354609929078014,0.061420241403151644
MERT linear probe,mert_v1_95m,train10,0.1,external_test,4,唢呐,0.12060577526679221,0.17349777387291124,0.08616708093147879,0.12724990176929213,0.2074074074074074,0.2688184786907267
MERT linear probe,mert_v1_95m,train10,0.1,external_test,5,笙,0.3455675239084251,0.08297410790205911,0.2511495269073713,0.05134987246122339,0.5772811918063315,0.22695136796466656
MERT linear probe,mert_v1_95m,train10,0.1,test,0,二胡,0.9295325168190444,0.03311732255706199,0.9336917562724015,0.0883968634776955,0.9351932577739029,0.08584115577493918
MERT linear probe,mert_v1_95m,train10,0.1,test,1,琵琶,0.20512820512820515,0.355292473347462,0.3333333333333333,0.5773502691896258,0.14814814814814814,0.25660011963983365
MERT linear probe,mert_v1_95m,train10,0.1,test,2,中阮,0.9297205224548221,0.09849071226716961,0.8868725868725869,0.17179384716104457,0.991869918699187,0.014081713882673812
MERT linear probe,mert_v1_95m,train10,0.1,test,3,笛子,0.364762467967672,0.32739953585326925,0.7652173913043478,0.208876733034162,0.3626108018965162,0.41554255226554576
MERT linear probe,mert_v1_95m,train10,0.1,test,4,唢呐,0.4853889215302259,0.15359489220887193,0.6081196581196582,0.30456836524505126,0.6195324283559578,0.3724045356456257
MERT linear probe,mert_v1_95m,train10,0.1,test,5,笙,0.46887818547487425,0.2598336424547395,0.38411616161616163,0.17029184715609827,0.626648115020208,0.41027303809093096
MERT linear probe,mert_v1_95m,train10,0.1,val,0,二胡,0.9331085119098438,0.03360626823840792,0.9553113553113555,0.039945218696602385,0.9153439153439153,0.07501294644845413
MERT linear probe,mert_v1_95m,train10,0.1,val,1,琵琶,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258
MERT linear probe,mert_v1_95m,train10,0.1,val,2,中阮,0.9698954175935072,0.01666193273200711,0.9418871252204587,0.03122402992256043,1.0,0.0
MERT linear probe,mert_v1_95m,train10,0.1,val,3,笛子,0.3323586744639376,0.30906216054463026,0.41050724637681163,0.4924480883532267,0.36534613845538216,0.33153762406427534
MERT linear probe,mert_v1_95m,train10,0.1,val,4,唢呐,0.6286340750365437,0.12282511873225019,0.7107624902833721,0.26762609829080475,0.7289972899728997,0.3503804088649103
MERT linear probe,mert_v1_95m,train10,0.1,val,5,笙,0.541735594154949,0.23493963035920792,0.535768137436658,0.1571844318277444,0.5680748663101604,0.3022091490277382
MERT linear probe,mert_v1_95m,train100,1.0,external_test,0,二胡,0.29364982731596634,0.17372257760545906,0.5648567119155354,0.05974450172047771,0.21828908554572268,0.16611101150797744
MERT linear probe,mert_v1_95m,train100,1.0,external_test,1,琵琶,0.6517430647876747,0.04070558486867684,0.4991785744844699,0.05057712556024354,0.9450980392156864,0.03396178054056629
MERT linear probe,mert_v1_95m,train100,1.0,external_test,2,中阮,0.026937401223115498,0.01166423711327503,0.2722222222222222,0.11824331474329317,0.014184397163120532,0.006142024140315153
