experiment_id,run_id,method,model,ratio_name,ratio_value,seed_name,device_type,total_params,trainable_params,trainable_ratio,feature_prep_time_sec,train_wall_time_sec,total_method_time_sec,mean_epoch_time_sec,mean_train_step_time_ms,peak_device_memory_mb,memory_metric_available,subset_train_group_count,subset_train_segment_count
exp03_mert_full_ft,run_exp03_mert_full_ft_train10_seed2,MERT full fine-tuning,mert_v1_95m,train10,0.1,seed2,mps,94376326,94376326,1.0,0.0,882.634,882.634,62.787,319.618,,False,23,151
exp03_mert_full_ft,run_exp03_mert_full_ft_train25_seed0,MERT full fine-tuning,mert_v1_95m,train25,0.25,seed0,mps,94376326,94376326,1.0,0.0,1041.185,1041.185,74.142,324.762,,False,50,231
exp03_mert_full_ft,run_exp03_mert_full_ft_train25_seed1,MERT full fine-tuning,mert_v1_95m,train25,0.25,seed1,mps,94376326,94376326,1.0,0.0,730.855,730.855,80.936,321.683,,False,50,314
exp03_mert_full_ft,run_exp03_mert_full_ft_train25_seed2,MERT full fine-tuning,mert_v1_95m,train25,0.25,seed2,mps,94376326,94376326,1.0,0.0,779.295,779.295,77.697,320.468,,False,51,271
exp03_mert_full_ft,run_exp03_mert_full_ft_train50_seed0,MERT full fine-tuning,mert_v1_95m,train50,0.5,seed0,mps,94376326,94376326,1.0,0.0,1254.55,1254.55,104.353,328.031,,False,97,553
exp03_mert_full_ft,run_exp03_mert_full_ft_train50_seed1,MERT full fine-tuning,mert_v1_95m,train50,0.5,seed1,mps,94376326,94376326,1.0,0.0,770.088,770.088,96.033,321.111,,False,98,482
exp03_mert_full_ft,run_exp03_mert_full_ft_train50_seed2,MERT full fine-tuning,mert_v1_95m,train50,0.5,seed2,mps,94376326,94376326,1.0,0.0,880.182,880.182,97.589,319.997,,False,99,490
exp03_mert_full_ft,run_exp03_mert_full_ft_train100_seed0,MERT full fine-tuning,mert_v1_95m,train100,1.0,seed0,mps,94376326,94376326,1.0,0.0,902.046,902.046,150.193,326.438,,False,192,1067
exp03_mert_full_ft,run_exp03_mert_full_ft_train100_seed1,MERT full fine-tuning,mert_v1_95m,train100,1.0,seed1,mps,94376326,94376326,1.0,0.0,1933.343,1933.343,148.538,321.53,,False,192,1065
exp03_mert_full_ft,run_exp03_mert_full_ft_train100_seed2,MERT full fine-tuning,mert_v1_95m,train100,1.0,seed2,mps,94376326,94376326,1.0,0.0,1172.15,1172.15,146.29,322.243,,False,195,1029
