source_phase,experiment_id,method,method_short,model,split,true_label,pred_label,count_mean,count_std,row_rate_mean,row_rate_std,seed_count
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,笙,琵琶,11.0,5.5677643628300215,0.2728085867620751,0.1152196281445497,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,笙,中阮,1.3333333333333333,1.5275252316519465,0.033392963625521764,0.039450745156882745,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,笙,笛子,12.333333333333334,3.5118845842842465,0.31763068972371294,0.10139312500924964,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,笙,唢呐,3.3333333333333335,1.1547005383792515,0.08513880606903862,0.030683912899797692,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,test,笙,笙,10.666666666666666,3.511884584284246,0.27473000728814684,0.10597467524652514,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,二胡,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,二胡,琵琶,9.0,0.0,0.07964601769911504,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,二胡,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,二胡,笛子,104.0,0.0,0.9203539823008849,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,二胡,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,二胡,笙,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,琵琶,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,琵琶,琵琶,1.0,0.0,0.011764705882352941,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,琵琶,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,琵琶,笛子,84.0,0.0,0.9882352941176471,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,琵琶,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,琵琶,笙,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,中阮,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,中阮,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,中阮,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,中阮,笛子,94.0,0.0,1.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,中阮,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,中阮,笙,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,笛子,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,笛子,琵琶,1.0,0.0,0.010638297872340425,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,笛子,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,笛子,笛子,92.0,0.0,0.9787234042553191,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,笛子,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,笛子,笙,1.0,0.0,0.010638297872340425,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,唢呐,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,唢呐,琵琶,1.0,0.0,0.022222222222222223,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,唢呐,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,唢呐,笛子,43.0,0.0,0.9555555555555556,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,唢呐,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,唢呐,笙,1.0,0.0,0.022222222222222223,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,笙,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,笙,琵琶,6.0,0.0,0.0335195530726257,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,笙,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,笙,笛子,137.0,0.0,0.7653631284916201,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,笙,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_clap_zeroshot,CLAP zero-shot,clap_zeroshot,clap_htsat_unfused,external_test,笙,笙,36.0,0.0,0.2011173184357542,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,二胡,二胡,27.333333333333332,2.081665999466133,0.8432916787755498,0.10969701641204513,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,二胡,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,二胡,中阮,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,二胡,笛子,2.0,2.0,0.05754141238012206,0.054390493323390486,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,二胡,唢呐,1.3333333333333333,1.5275252316519468,0.04126707352513804,0.04993390959494804,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,二胡,笙,2.0,1.7320508075688772,0.05789983531919016,0.04348496341371477,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,琵琶,二胡,0.0,0.0,0.0,0.0,3
1,exp01_clap_linear,CLAP linear probe,clap_linear,clap_htsat_unfused,test,琵琶,琵琶,15.0,14.933184523068078,1.0,0.0,3
