method,model,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
MERT full fine-tuning,mert_v1_95m,val,5,笙,0.9770596608533033,0.013235500518650226,0.9813428401663696,0.018200449484958803,0.9731729055258467,0.023554212338966683
MERT linear probe,mert_v1_95m,external_test,0,二胡,0.29364982731596634,0.17372257760545906,0.5648567119155354,0.05974450172047771,0.21828908554572268,0.16611101150797744
MERT linear probe,mert_v1_95m,external_test,1,琵琶,0.6517430647876747,0.04070558486867684,0.4991785744844699,0.05057712556024354,0.9450980392156864,0.03396178054056629
MERT linear probe,mert_v1_95m,external_test,2,中阮,0.026937401223115498,0.01166423711327503,0.2722222222222222,0.11824331474329317,0.014184397163120532,0.006142024140315153
MERT linear probe,mert_v1_95m,external_test,3,笛子,0.5349322352974053,0.07955870582097414,0.5952055078594832,0.13412049327039985,0.5602836879432624,0.28072477280872027
MERT linear probe,mert_v1_95m,external_test,4,唢呐,0.3515947000500484,0.04609078715741578,0.22440327875336177,0.04145588630060261,0.837037037037037,0.06789001029564212
MERT linear probe,mert_v1_95m,external_test,5,笙,0.5167953193853991,0.01518385611458881,0.6219992685197501,0.09215783110961161,0.44692737430167595,0.025600981536066172
MERT linear probe,mert_v1_95m,test,0,二胡,0.9945355191256832,0.00946475851130535,0.989247311827957,0.018624202231923397,1.0,0.0
MERT linear probe,mert_v1_95m,test,1,琵琶,1.0,0.0,1.0,0.0,1.0,0.0
MERT linear probe,mert_v1_95m,test,2,中阮,0.992648527707859,0.006501651582593889,0.9935897435897436,0.01110288979210815,0.991869918699187,0.014081713882673812
MERT linear probe,mert_v1_95m,test,3,笛子,0.9340780166276238,0.07503653651531828,0.9713064713064714,0.025267646015353914,0.9055864770150484,0.12979550427332118
MERT linear probe,mert_v1_95m,test,4,唢呐,0.9554815636946602,0.047392831403627905,0.9509090909090908,0.06844192808988625,0.9611613876319759,0.03363998028611003
MERT linear probe,mert_v1_95m,test,5,笙,0.9280291069271932,0.05620178921849617,0.8948024948024949,0.09211627481178443,0.96668985622474,0.011482631008765199
MERT linear probe,mert_v1_95m,val,0,二胡,0.993939393939394,0.010497277621629563,0.9880952380952381,0.02061965247105799,1.0,0.0
MERT linear probe,mert_v1_95m,val,1,琵琶,0.9866666666666667,0.02309401076758505,0.9743589743589745,0.04441155916843266,1.0,0.0
MERT linear probe,mert_v1_95m,val,2,中阮,0.997245179063361,0.004771489828013356,1.0,0.0,0.9945355191256832,0.00946475851130535
MERT linear probe,mert_v1_95m,val,3,笛子,0.8447789725209081,0.10813366032333972,1.0,0.0,0.740921368547419,0.15465844120082933
MERT linear probe,mert_v1_95m,val,4,唢呐,0.943993297550696,0.05723111514343276,0.9027777777777777,0.09141379262169069,0.991869918699187,0.014081713882673812
MERT linear probe,mert_v1_95m,val,5,笙,0.9640236003318231,0.020007873524991254,0.9541016278105481,0.029372381841787518,0.9745454545454546,0.02211913647381172
MERT+LoRA (r=4),mert_v1_95m,external_test,0,二胡,0.17845117845117844,0.3090865077479815,0.20784313725490197,0.35999487373000194,0.15634218289085547,0.2707926041331873
MERT+LoRA (r=4),mert_v1_95m,external_test,1,琵琶,0.43884860650253305,0.19591965314144338,0.5667589133342558,0.08147734017133247,0.4235294117647059,0.2580201435230743
MERT+LoRA (r=4),mert_v1_95m,external_test,2,中阮,0.2451939202161161,0.20581178518183368,0.4113788487282463,0.3024003938205521,0.2695035460992908,0.3307010902704755
MERT+LoRA (r=4),mert_v1_95m,external_test,3,笛子,0.32470925663994965,0.3173736465588165,0.661151466236212,0.3255091352871068,0.24113475177304963,0.2700395938084528
MERT+LoRA (r=4),mert_v1_95m,external_test,4,唢呐,0.36087631533551834,0.2095846919804895,0.30200589377804565,0.09664530036085715,0.5259259259259259,0.39773018544174227
MERT+LoRA (r=4),mert_v1_95m,external_test,5,笙,0.5427354882694079,0.12604702989212002,0.46785978542360335,0.22681548026543616,0.750465549348231,0.1164282981924811
MERT+LoRA (r=4),mert_v1_95m,test,0,二胡,0.9341931216931217,0.039785745421679744,0.9607843137254902,0.06792356108113246,0.9174658529497238,0.09986781918989614
MERT+LoRA (r=4),mert_v1_95m,test,1,琵琶,0.4312925170068027,0.3764481040806883,0.5,0.5,0.4270833333333333,0.3856980954494504
MERT+LoRA (r=4),mert_v1_95m,test,2,中阮,0.9573047567650915,0.0189417772851279,0.9185243236967375,0.034542115323754,1.0,0.0
MERT+LoRA (r=4),mert_v1_95m,test,3,笛子,0.6122387544106398,0.29131798755991717,1.0,0.0,0.4862347969490826,0.3242484974293222
MERT+LoRA (r=4),mert_v1_95m,test,4,唢呐,0.8205620325997982,0.10295757662855984,0.7581858158080905,0.1825792631101135,0.9123931623931624,0.008877935337561718
MERT+LoRA (r=4),mert_v1_95m,test,5,笙,0.77569573283859,0.06788248505611028,0.6623197664950455,0.11752204584068432,0.9552110249784668,0.05860185596270132
MERT+LoRA (r=4),mert_v1_95m,val,0,二胡,0.9450248756218906,0.08263163396070877,0.955108359133127,0.054312089141946844,0.9365079365079364,0.10997147984564301
MERT+LoRA (r=4),mert_v1_95m,val,1,琵琶,0.5833333333333334,0.5204164998665332,0.6666666666666666,0.5773502691896258,0.5333333333333333,0.5033222956847166
MERT+LoRA (r=4),mert_v1_95m,val,2,中阮,0.9735947712418301,0.022870961202657435,0.9540094339622641,0.0403536288496903,0.9945355191256832,0.00946475851130535
MERT+LoRA (r=4),mert_v1_95m,val,3,笛子,0.2809523809523809,0.24939836905092372,0.6666666666666666,0.5773502691896258,0.17899659863945575,0.16114057759916797
MERT+LoRA (r=4),mert_v1_95m,val,4,唢呐,0.7596863110489944,0.1434682866998794,0.6794233958413063,0.2361820472152073,0.9034068912117692,0.08755274264174949
MERT+LoRA (r=4),mert_v1_95m,val,5,笙,0.8165242165242166,0.049138485840114834,0.7686757215619694,0.10763675395111746,0.8906595365418895,0.11221980028041369
MERT+LoRA (r=8),mert_v1_95m,external_test,0,二胡,0.20606140235623874,0.3001157964419054,0.42988505747126443,0.4033352823398696,0.22123893805309733,0.35298532168458635
MERT+LoRA (r=8),mert_v1_95m,external_test,1,琵琶,0.5232562711331289,0.08505955735706619,0.8703703703703703,0.22452510468485445,0.39999999999999997,0.12394886768062052
